epoch,acc,loss,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.4223224796375231,1.5635192824046067,0.8979992153785799,0.4573378841624732,1.3460631057264048,0.9658703071672355
1,0.6100431541079584,1.0213051182281836,0.9805806196170865,0.4317406145378998,1.4531354647854489,0.9641638225255973
2,0.6692820713070151,0.8599491401857935,0.9886229894076108,0.4368600684628145,1.3708425363582963,0.9778156996587031
3,0.7194978422443274,0.7670418700315103,0.9894076105939402,0.5409556313993175,1.164172296637968,0.9778156992518454
4,0.7369556689599113,0.7126694411659016,0.9929384072185171,0.49658703071672355,1.3269221668764186,0.9675767918088737
0,0.7681443704114609,0.6302648310967173,0.9913691643781876,0.8020477817733946,0.5331225051407928,0.9982935153583617
0,0.43468026698173473,1.4948900701392627,0.9107493132224219,0.4232081911517085,1.4691576396239088,0.967576791402016
1,0.6198509221640041,0.9941657737639896,0.9813652412944702,0.4658703071672355,1.2452426802989973,0.9778156998621319
2,0.689682228441751,0.8385628286928886,0.9848960374279928,0.540955631806175,1.2220019504885624,0.9761092150170648
3,0.7228324833034113,0.7545223038259231,0.9907806983364474,0.5119453924914675,1.2848502344645738,0.9709897606852925
4,0.7540211849420292,0.662769423133488,0.9945076500588466,0.568259385665529,1.1985293777322605,0.9761092146102072
0,0.7867791291403743,0.5754654198218533,0.9956845821890937,0.8105802045747281,0.4810656052807492,0.9965870307167235
1,0.9780306002353865,0.08640804261600518,1.0,0.8412969285310739,0.47807860313422035,0.9948805460750854
2,0.9990192232247941,0.01632874683839064,1.0,0.8805460750853242,0.4250130759863622,0.9948805460750854
3,1.0,0.0065624640086097965,1.0,0.8788395900368283,0.518600320653297,0.9965870307167235
4,0.9870537465906648,0.05307174148385129,1.0,0.8020477811631083,0.7041179283487106,0.9965870307167235
